,title,vector,cluster
10,biz,"[-0.44731    0.34199    0.23873   -0.45854   -0.32373   -0.31863
  0.22291   -0.2939     0.63518    0.20414    0.58001   -0.39189
  0.76699   -0.68485   -0.52746    0.48072    0.58136   -0.40414
  0.2715     0.23926   -0.12658    0.21536   -0.27031    0.24885
  0.44124    0.59767    0.25062    0.64047   -0.90285   -0.23991
  0.15654    0.37251    0.018017  -0.17757   -0.64483    0.36504
 -0.20922   -0.26949   -0.38775   -0.43778    0.035083   0.064081
 -0.81605   -0.49903   -0.37401   -0.20367   -0.78948    0.084381
  0.53588   -0.30045   -0.72089   -0.024358   0.22121   -0.28004
 -0.052493  -0.18996    0.249      0.25578    0.48494    0.12666
  0.59571    0.58906   -0.18397   -0.040078   0.025344   0.0047754
  1.0308    -0.0081538 -0.28908   -0.067771   0.074273  -0.036399
 -1.0669     0.18012   -0.13955   -0.26302    0.41053   -0.52575
  0.36212   -0.23295   -0.010826  -0.46604    0.69924   -0.027615
  0.087608  -0.083829  -0.99251   -0.5714    -0.2089    -0.037885
  0.35003    1.1865     0.49006   -0.49805    0.10596   -0.39423
 -0.036903  -0.44956    0.55067    0.25068  ]",7
11,dürer,"[ 0.36069   -0.50095   -0.14516    0.47852    0.33228   -0.50944
 -0.39288    0.087391  -0.44756   -0.19034    0.23148   -0.2221
  0.26818    0.012245   0.022586   0.95395   -0.17688   -0.07892
  0.6175    -0.054773  -0.44234   -0.59308   -0.46013    0.92852
  0.36348   -0.43558    0.5189     0.41124    0.067967  -0.74624
  0.051329  -0.5539    -0.67908    0.32202   -0.39503    0.79736
  0.4939    -0.10639    0.35867   -0.28954    0.35888    0.83042
  0.12866    0.55412   -1.1483    -0.82682    0.8423     0.48117
 -0.0050315  0.10546   -0.80126    0.20757   -0.26788    0.11329
 -0.53878    0.32444   -0.90817   -0.33224   -0.96311    0.043671
  0.94945    0.88016    0.39914    0.48068    0.51102   -0.012638
  0.039289   0.27074   -0.48094    0.25724   -0.63274    0.14891
  0.26133    0.41497   -0.021699  -0.66532   -0.022605   0.47182
  0.2539     0.29543   -0.29233    0.2049    -0.57539    0.4649
 -0.65137    0.27065   -0.53381   -0.56714   -0.30964   -1.0651
  0.35721   -0.25953    1.1068    -0.37057   -0.052599  -0.54026
  0.025874  -0.1693    -0.50883   -1.0239   ]",3
12,pechstein,"[ 1.0391    0.72015  -0.7158    0.43422  -0.23507  -0.38165  -0.1854
  0.38741  -0.044251  0.3555    0.60203   1.3532   -0.80594  -0.20459
 -0.18364   0.33977   0.18641   0.42246   0.21792  -0.32603   0.19061
  0.94132   0.70517   1.7251    0.7222   -0.17344   0.23633  -0.094155
  0.55191  -0.075234 -0.039988 -0.10897  -0.21633   0.46651   0.56182
  0.32898   0.51122   0.072861 -0.33124   0.48896  -0.046402  0.3753
 -0.029984  0.50852  -0.32087  -0.25405   0.20647  -0.90035   0.72468
  0.50315   0.99572  -0.020453 -0.31842   0.83742  -0.030129  0.052933
 -0.23004   0.75823  -0.39299  -0.53501   0.68592  -1.2385    0.83237
  0.45584   0.21548   0.63276   0.12927   0.24625  -0.26786  -0.53736
  0.24933   0.34286  -0.45532   0.88404   0.51983   1.6048    0.73927
 -1.2173    0.68662  -0.33204   0.24785  -0.28965  -0.66797   0.40177
 -0.028211 -0.31282   0.24211   0.57384   0.073726 -0.45968   0.16481
 -0.4268    0.54766   0.76689   0.56868  -0.83639  -0.33798  -0.056704
 -0.25681   0.57671 ]",3
13,einhorn,"[ 0.74066   -0.72768    0.53266   -0.59476    0.35953    0.33234
  0.5435     0.40193   -0.11543    0.3914    -0.34667    1.0828
 -0.59547    1.0376     0.34807    0.83355    0.025828  -0.08089
  0.28506   -0.35617    0.094583   0.074448   0.47293   -0.0060328
  0.6293     0.1952     1.0672    -1.0563     0.020316  -0.26366
 -0.28823    0.19069   -0.3144     0.50026   -0.17142    0.71636
  0.50887   -0.54953    0.34248   -0.061272  -0.75864    0.018741
  0.83672    0.37634    0.50891   -0.03822    0.49674   -0.2186
 -0.020594  -0.024323  -0.17538   -0.50994    0.50695   -0.26413
 -0.17059    0.64998   -0.29039   -0.63979    0.074479   0.044478
  0.31383   -0.0092118  0.31089   -0.26056    0.44324   -0.092843
  0.59018    1.0089    -0.52314    0.40043    0.066746  -0.46038
 -0.61281   -0.56078   -0.12697   -0.12896   -0.21244   -0.20446
  0.0678     0.29357    0.53256   -0.03061   -0.14156    0.099216
  0.45853    0.16015    0.58715   -0.088877  -1.0287     0.20284
 -0.079353  -0.93286    0.47138   -0.088148   0.21967   -0.17655
  0.93336   -0.1445    -0.5495     0.31356  ]",3
14,rasse,"[ 0.12115    0.015706  -0.44163    0.069865  -0.30246   -0.11156
  0.17114   -0.17832    0.19129   -0.1894     0.27201    0.31505
 -0.13828    0.08692   -0.31596    0.0067422 -0.074832   0.19003
  0.065227  -0.15767    0.23798    0.09764   -0.66027   -0.014639
 -0.38298    0.24022   -0.095381   0.32205    0.22954    0.12426
 -0.31621   -0.41657    0.070121  -0.23535    0.077009  -0.40083
  0.091597  -0.57024   -0.11997    0.17788    0.10882   -0.10248
 -0.36076    0.37814   -0.042626  -0.27914   -0.24521    0.37974
 -0.18576    0.42338   -0.24025   -0.01408   -0.20787   -0.17615
  0.15969    0.78975    0.53257    0.65266   -0.41999   -0.32768
  0.14147   -0.49502   -0.42713    0.056367  -0.047318   0.2653
  0.11748   -0.19521    0.070819  -0.19614    0.26773    0.24804
 -0.19807    0.26499    0.16369   -0.17364    0.26373    0.048348
  0.37244   -0.21198   -0.30778   -0.2397     0.08277    0.21702
  0.27858   -0.04444   -0.4137     0.004665  -0.16915    0.019467
 -0.20556    0.17653    0.43924    0.10944    0.61464   -0.094718
  0.77708    0.11966   -0.04059   -0.20889  ]",4
15,salminen,"[-8.3776e-02 -4.4702e-01 -1.4744e-01 -1.9284e-01  4.1382e-01 -4.2597e-01
  3.5317e-01 -2.3872e-01  4.9946e-01 -5.0530e-01 -2.7173e-01  1.2419e-01
 -1.5284e-02  2.8413e-01 -1.5655e-01 -1.0769e-01 -3.3480e-01 -1.9510e-01
  1.2902e-01  1.0709e-01 -3.1039e-02 -3.8674e-01  2.9848e-01  5.8606e-01
  1.1609e-01 -5.4434e-01 -1.5770e-01  3.1987e-01  3.6386e-01 -7.4373e-01
 -3.9401e-01  2.7551e-01 -1.1979e-01 -1.0720e-01 -2.2859e-01 -2.6735e-01
  1.8369e-01 -5.1220e-02  3.3950e-01 -2.7714e-01  2.1125e-01  4.2823e-01
  2.7822e-01  4.2571e-01 -7.0841e-01  7.4078e-02 -2.0257e-01  7.0849e-02
  3.9997e-02  2.6317e-01 -2.3915e-01  6.5538e-02 -2.5713e-01 -1.8837e-01
  1.1240e-01  3.3161e-01  2.1958e-01  8.6652e-01 -1.0194e+00 -2.9798e-01
  3.5396e-01 -2.2916e-01  1.2852e-01  2.8022e-01 -2.4643e-01 -2.4600e-03
 -6.1466e-05 -5.1079e-01 -4.4863e-02  8.2138e-02 -2.0355e-01  1.1960e-02
 -8.6800e-04  2.3990e-01  2.9852e-01 -1.1390e-01  1.1618e-01  1.7560e-01
  5.1825e-01  3.4478e-02 -6.4589e-01 -1.3877e-01 -1.7140e-02 -5.9713e-01
  8.5213e-01  1.9410e-01 -1.0248e-01 -7.2295e-02 -7.8837e-02 -4.4321e-01
  2.1344e-01  1.9974e-01 -1.3115e-01 -1.7000e-01  4.9212e-01 -1.1391e-02
 -5.7968e-01  3.2541e-01 -2.0707e-01 -2.3372e-01]",12
16,karneval,"[ 1.0974e-01 -1.5451e-01 -4.2238e-01 -1.5357e-01 -3.4978e-01 -5.9054e-02
  2.0169e-01  1.3013e-01  2.3416e-01 -2.6594e-01 -1.8228e-01 -1.2975e-02
  1.5666e-01 -1.4708e-01 -3.5038e-01  6.0804e-01  1.1730e-01  2.8290e-01
  4.2662e-01 -1.8663e-01  1.9175e-01 -3.8446e-03 -1.1219e+00  1.7932e-01
 -1.8201e-01 -1.3411e-01  2.0381e-01  6.9027e-01 -2.1031e-01  3.0247e-01
 -1.5690e-01 -3.4625e-01  1.3976e-01 -1.3551e-01  8.2702e-01  5.7940e-02
  1.5613e-01 -2.0417e-01 -2.1210e-01 -4.4043e-01  3.3486e-01  3.0776e-01
 -2.2273e-01  7.3212e-01 -1.4990e-01 -2.7154e-02  3.3373e-01  7.2862e-02
 -1.6096e-01  5.5189e-01  2.8284e-01  1.5502e-01 -5.8701e-01 -6.5598e-01
 -2.5737e-01  3.9143e-01  2.4589e-01  3.3542e-01 -5.5619e-01 -4.5125e-01
  3.1472e-02 -2.7354e-01 -5.1386e-01 -3.1682e-01  3.0151e-02  3.5031e-01
 -3.5422e-01 -6.1415e-01  9.2097e-02 -4.8308e-02  3.4250e-01 -2.5664e-01
  6.6951e-01  7.2431e-04 -1.0858e-01  3.8379e-03  2.3776e-01  2.9416e-01
  6.5013e-01  6.2229e-02 -4.2609e-01 -3.3963e-01 -6.4155e-03 -1.3773e-01
  2.5051e-01 -3.9086e-01 -5.5162e-01 -2.3311e-01  2.2978e-01  4.0767e-01
 -3.1253e-02  3.4697e-01  2.3413e-01 -3.9801e-01  6.6784e-01 -1.0374e-01
  2.3471e-01  8.7702e-02 -3.9881e-01 -3.8095e-01]",4
17,inventor,"[ 0.39516    0.027691   0.076031   0.24812    0.37788   -0.68349
  0.96349   -1.3647    -0.41871   -0.0688    -0.4316    -0.49172
 -0.13833   -0.37451   -0.074501  -0.27754    1.1067     0.1434
 -0.26838    0.41178   -0.51563    0.24984    0.56609   -0.45427
  1.0059     0.0073638 -0.37788   -0.10901   -0.079106  -0.19805
 -0.020866   1.2189    -0.42811   -0.032799  -0.23207   -0.92472
 -0.41306   -0.2156     0.47592   -0.16346    0.28939    0.87209
  0.29798   -0.62219   -0.073838  -0.33843   -0.11276   -0.32369
 -0.27314    0.52904   -0.50246    0.068772   0.73817    0.31131
 -0.11519   -0.54101   -1.023      0.55739   -0.015611  -0.68262
  0.87007    0.34914    0.13127    1.0195     0.49271   -0.93361
  0.33808    0.35351   -0.28295   -0.26259   -0.45396    0.76061
  0.15026    0.076753  -0.53691    0.14651    0.95787   -0.34949
 -0.72082   -0.20605    0.50445   -0.22876   -0.35389    0.28962
 -0.69687    0.33253    0.49019   -0.46497   -0.29727   -1.2007
  0.67499    0.50241    0.54349    0.086499   0.34436    0.19912
 -0.30038   -0.93529    0.31535   -0.67585  ]",8
18,atelier,"[ 0.84604   -0.07513   -0.8054     0.62981    0.06901    0.18794
  0.40982    0.55553    0.032407   0.8323     0.5432    -0.1423
  0.018177  -0.54959   -0.22243    0.31217    0.09708    0.24666
  0.39493   -0.3252    -0.7077    -0.099215   0.052116  -0.72782
  0.24986   -0.67609   -0.0073183 -0.51304    0.008192  -0.44452
 -0.63299   -0.35121    0.087416   0.24911   -0.66274    0.30292
  0.142      0.0082378  0.14326   -0.40517    0.57295    0.37329
 -0.68038    0.29086   -0.47619   -0.57006   -0.41568    0.53869
  0.37113    0.85438   -0.73876    0.13625   -0.29289   -0.098616
 -0.79832   -0.76841   -0.43902    0.14822   -0.8095    -0.1126
  0.06031    0.15779   -0.45302    0.61806   -0.36283   -0.19886
 -0.037991  -0.40175    0.18353    0.34636   -0.052969   0.077303
 -0.32444   -0.40386   -0.13323   -0.20701   -0.12216    0.023905
 -0.21656   -0.51253   -0.016322   0.4868     0.060847   0.019281
  0.06867    0.06772    0.22417   -0.15533   -0.35028    0.21625
  0.023003  -0.15205    1.0976     0.46737    0.50083   -0.083569
 -0.35023   -0.63783    0.082057   0.094454 ]",7
19,bergmeister,"[ 0.31636    0.024006  -0.6802    -0.093501  -0.084611  -0.17719
 -0.21976   -0.5164    -0.46344   -0.34427    0.2605     0.28037
 -0.021576   0.26818   -0.052551   0.20179   -0.3445     0.27991
 -0.027993   0.0077702 -0.159      0.2706    -0.0019139 -0.2065
  0.12917    0.37425    0.080787   0.20447    0.29501    0.031121
  0.046359  -0.13782    0.013033  -0.17827    0.39862   -0.12038
  0.13522    0.11227   -0.072708   0.49899    0.26453    0.22287
  0.40952    0.5584    -0.13528   -0.14828    0.44883    0.22965
  0.19825    0.046124  -0.070081   0.20198   -0.77627   -0.14916
  0.48402    0.78007    0.22636    0.30764   -0.69501   -0.60224
  0.52299   -0.48253    0.15467    0.14839   -0.17798    0.070476
 -0.33754   -0.15977    0.3041     0.1977     0.023682  -0.019247
  0.089024   0.0075089 -0.034733  -0.031618  -0.21977   -0.37018
  0.66864    0.2977    -0.39979   -0.16987    0.47185   -0.056289
  0.31274   -0.35769   -0.29165    0.069517  -0.053723   0.48393
  0.24349    0.22965   -0.076001  -0.41432    0.28246   -0.22461
  0.044825   0.32987   -0.16845    0.19252  ]",12
