,title,vector,cluster
10,,"[-0.086265  -0.42707   -0.47813   -0.014221  -0.95316    0.055274
  0.21928   -0.46074    0.33215    0.24066    0.97102    0.40092
 -0.80622   -0.47707   -0.46056   -0.4477     0.51802    0.14299
  0.10369    0.24655    0.42997   -0.49593   -0.1849    -0.22649
  0.31415   -0.33915    0.16502    0.30344   -0.37688   -0.10615
  0.2106    -0.24785   -0.55452   -0.23766    0.27885    0.2024
  0.3078     0.015626   0.6988    -0.25257    0.56511   -0.20475
 -0.20584    0.23824   -0.24303   -0.33887   -0.72867   -0.049215
 -0.73873   -0.30007   -0.09096    0.0042287  0.12192   -0.20224
 -0.20082    0.90769    0.40433   -0.19916    0.42525    0.0057949
  0.4254    -0.059754   0.038265  -0.42498    0.0056148 -0.3105
  0.43957    0.28835    0.1472    -0.21019   -0.061406  -0.204
  0.52503    0.43358    0.16053   -0.054023  -0.16906    0.38371
  0.38325    0.68946   -0.084995   0.36895    0.10276   -0.11759
  0.46121    0.24278   -0.062357  -0.59516    0.47002    0.26395
 -0.89923    0.14431    0.31953    0.099733   0.58011   -0.60567
  0.85875    0.80375   -0.89236   -0.10704  ]",6
11,projekt,"[ 0.32248  -0.1523    0.089299 -0.10446   0.28675   0.12606   0.13127
  0.37058   0.12267   0.04049   0.98026  -0.27418  -0.33028  -0.79729
 -0.16092   0.84356   0.84037  -0.4977    1.0717   -0.52281  -0.34111
 -0.4524    0.32187   0.1654   -0.74527   0.97478   0.16364  -0.20629
  0.70765  -0.19962  -0.50307  -0.48325   0.22371   0.93303   0.4667
  0.4536   -0.44255  -0.1089   -0.12931  -0.49766   0.43232   0.24819
  0.087562  0.36322  -0.076555 -0.3557    0.59829   0.7021    0.12692
  0.36097  -0.13237  -0.46412  -1.032    -0.36159  -0.11536   0.44991
 -0.22524   0.83388   0.049877  0.19947  -0.35011  -0.091204 -0.41454
 -0.43357  -0.29872  -0.25048  -0.41276  -1.0427    0.5774   -0.4009
  0.73562   1.0486   -0.77342  -0.94834  -0.64314   0.62488   0.28683
  0.22764  -0.59853   0.24489   0.42322   0.027391  0.029411  0.74253
  0.78979   0.37345  -0.54457  -0.80618  -0.26655   0.62231  -0.32119
 -0.15938  -0.20191  -0.034976  0.99341  -1.3514    0.10566   0.069959
 -0.53603  -1.12    ]",30
12,,"[ 7.9256e-01 -6.8237e-02 -9.3752e-01  5.1041e-01  2.2201e-01 -5.5355e-01
 -3.1286e-01 -4.0131e-01  4.5139e-01 -4.0197e-02  7.2645e-01 -7.2913e-02
 -2.9948e-01  3.4510e-01 -4.6409e-01 -2.1582e-02 -3.0979e-01 -5.4631e-01
  1.3556e+00 -1.5719e-01 -3.8359e-01  3.7899e-04 -2.1139e-01 -2.6785e-01
 -1.0067e-01 -3.8073e-01  1.8971e-01  8.1210e-01  8.4282e-02 -1.3583e-01
 -5.5523e-01  3.9695e-01 -1.2162e+00  1.5287e-01  4.4671e-01 -5.4554e-01
  6.8763e-01 -2.1125e-01  2.7666e-01 -5.0288e-01  1.1279e-01  1.6608e-01
 -7.3541e-01  5.6208e-01 -4.3460e-01  6.6206e-01 -1.4209e-01 -3.8475e-01
 -4.5102e-01  4.6867e-01  3.7077e-01  1.9307e-01 -3.1959e-01  2.7175e-01
 -3.8504e-01  5.3310e-01  5.9201e-01  6.2604e-01 -5.0816e-02 -2.9038e-01
  6.2903e-02  5.5683e-01 -2.1876e-01 -1.4976e-01 -1.7846e-01 -1.0737e-01
 -3.8159e-01  5.5839e-01  8.4809e-02  4.9238e-01 -4.3170e-01 -1.8923e-02
  1.4784e-01  6.4225e-01 -6.1016e-01 -4.5895e-01  3.3385e-01 -2.7861e-01
  9.1137e-02 -3.0632e-01  9.1512e-02 -2.7376e-01  3.3776e-01 -3.2029e-02
  8.7968e-01 -1.2518e-01  6.5658e-03 -1.0346e-01  2.6601e-01  2.9735e-01
 -5.3059e-01 -2.2476e-01 -1.5856e-01  8.7004e-01  4.6347e-01 -1.0721e-02
  8.6257e-01  3.3413e-01 -4.9485e-01  3.0646e-01]",30
13,,"[ 0.64322   -0.042155  -0.3485    -0.25666   -0.43463   -0.38285
  0.0656     0.26398   -0.051551  -0.2833     0.13404    0.67742
  0.08852    0.79904    0.010685   0.2986    -0.041262  -0.48433
 -0.26948   -0.63345   -0.55921    0.55853    0.46783    1.0131
  0.75812   -0.040278   0.077301   0.29105    0.063815  -0.72733
  0.096924   0.20145   -0.82157   -0.24599    0.94386   -0.14666
  0.34353    0.65047   -0.065307   0.1235     0.30099   -0.13724
  0.1806     0.98318   -0.35596   -0.094304   0.53251    0.26274
  0.27621    0.36481    0.37782    0.064418  -0.33058   -0.27533
  0.6592     0.52889   -0.21185   -0.15747   -0.52424   -0.141
  1.1157    -0.34239    0.24403   -0.11057    0.012721  -0.072734
  0.11384    0.57248   -0.59123   -0.56389    0.030923  -0.1514
 -0.36227    0.25756    0.53608    0.72248    0.020846  -0.0028688
  0.69271   -0.6378    -0.1565     0.226     -0.18229    0.92357
 -0.50933    0.35983   -0.48627    0.61812   -0.56702    0.39407
  0.38808    0.32576    0.33519    0.1952     1.2025    -0.55388
 -0.35331    0.86677   -0.39812    0.15606  ]",14
14,tasse,"[ 0.0087549 -0.27901   -0.39007    0.083524  -0.11293    0.12688
  0.16878    0.20709    0.4051    -0.40845   -0.32637    0.22036
 -0.16073   -0.089528  -0.16379    0.087826  -0.2398    -0.055573
  0.061054  -0.048     -0.20903    0.62578   -0.75344   -0.020814
 -0.059967   0.43714   -0.33768    0.32839    0.0048842 -0.034941
  0.26499   -0.46576    0.054437  -0.34433    0.56148   -0.03325
  0.24576   -0.20472    0.18048   -0.068308   0.024495   0.38913
 -0.37862    0.17087    0.23858   -0.0076241 -0.17064    0.19475
  0.32647    0.37026   -0.12851    0.10045   -0.36819   -0.5387
  0.043513   0.22835    0.41549    0.14085   -0.64831   -0.33621
 -0.19885   -0.52985    0.33544   -0.45954    0.023424   0.20192
 -0.10883   -0.74287   -0.37065    0.1197     0.10558    0.5071
  0.33112    0.58882    0.088221  -0.10901    0.42925   -0.061676
  0.53689   -0.038997  -0.2028     0.28052    0.35994   -0.22749
  0.47627    0.04842   -0.14998    0.090125   0.42011    0.38989
 -0.0035998  0.11678    0.152     -0.14208    0.74222   -0.17126
  0.072882   0.14833   -0.091493   0.031226 ]",30
15,,"[ 0.45462    0.24367   -0.5142    -0.75521    0.26212    0.75279
  0.3476    -0.34215    0.079749   0.068755  -0.38529    0.019483
  0.39396    0.6627     0.22689   -0.88737    0.16979    0.094461
 -1.2345     0.33819   -0.028052   0.23223   -0.31467    0.55217
 -0.32157   -0.19446   -0.039348   0.0016005  0.6055     1.0817
 -0.22923    0.35873    0.37692    0.30241   -1.2187     0.19377
 -0.37344    0.047379   0.86327    0.080398  -0.66914    0.481
  1.2852    -0.066944   0.076772  -0.26116    0.0030666 -0.17261
 -0.075665  -0.52417   -0.064245  -0.50315   -0.25718   -0.5221
 -0.26033   -1.4228    -0.13171    0.019704   0.20551   -0.16244
  0.67427   -0.27951    0.8652    -1.2231     0.042718  -1.1155
  0.73726    0.46252    0.57182   -0.09601    0.31306    0.2881
 -0.41214   -0.78361    0.18356   -0.20604    0.47737    0.083078
  0.34675   -0.32798   -0.5213    -0.016589  -0.33721    0.40992
 -0.098741  -0.42353    0.41445   -0.19527    0.54343   -0.86368
  0.13576   -0.56417    0.20789    0.91739   -0.22497   -0.69043
 -0.29249   -0.3228     0.096771  -0.11142  ]",29
16,,"[ 0.43487  -0.24513   0.30681  -0.77075  -0.55115   0.11895   0.6758
 -0.86706  -1.0761   -0.061864  1.1099   -0.73316   0.04946  -0.19438
 -0.21158   1.2213    0.54712  -0.7977   -0.041727 -0.33323  -0.23528
  0.81921  -0.60777   0.81289  -0.33171  -1.4528   -0.10473  -0.043171
  0.050396 -0.38879  -0.72777   0.56568  -0.77842  -0.63217   0.12029
  0.85746  -0.69851  -0.15934  -1.5669    0.51166   0.81233  -0.086191
  0.39719   0.22755   0.57417   0.42521   0.8044   -0.22208   0.26163
  0.25787  -0.32181  -0.62788  -0.81095   1.1638    0.03777  -1.1206
 -0.28984   0.042114 -0.57069   0.75149  -0.17635   0.32738  -1.1287
 -0.11397   0.19548   0.61802  -0.29116   0.78769  -1.0423   -0.93524
 -0.51759  -0.88482   0.75665  -0.27372  -0.26805   0.45966  -0.15922
 -0.84889  -0.17374  -0.22181   0.13103   0.31682  -0.79735   0.54456
 -0.35959  -1.048    -1.0594    0.10037   0.49947   0.45759  -0.53253
  0.39316   0.18358   1.2153    0.21378  -0.72795   0.5875    1.1911
  1.1032    0.054795]",9
17,einstellung,"[ 0.21404   -0.37642   -0.4904     0.25377   -0.57987   -0.19502
 -0.40927    0.10751    0.32811   -0.47983    0.026182   0.049686
 -0.12159   -0.19883    0.054795   0.52378   -0.095699  -0.15697
  0.49145   -0.26023    0.27638   -0.048679  -0.74909   -0.32992
 -0.10055   -0.22111   -0.011819   0.1993     0.015692  -0.27413
  0.29718   -0.56143   -0.012616  -0.15128   -0.082423  -0.55413
  0.15604   -0.11765   -0.35225   -0.34811    0.096505   0.22043
 -0.17852    0.30203    0.34686   -0.06126   -0.27391    0.076022
 -0.57647    0.33327    0.020377   0.36136   -0.46359   -0.49148
  0.305      0.31596    0.34515   -0.17374   -0.25752   -0.41597
  0.059129   0.38137   -0.2058    -0.20277   -0.41488    0.11618
 -0.46366   -0.079837  -0.34869   -0.37103    0.72235   -0.054561
  0.10196    0.3864     0.086453  -0.54716    0.35429   -0.43801
  0.83554    0.16507    0.02675   -0.29999    0.19991   -0.37209
  0.093726  -0.30764    0.01017   -0.048618  -0.39409    0.0065087
  0.13767    0.11029    0.1687     0.25043    0.44482    0.14936
  0.37111   -0.0091931 -0.22145   -0.097323 ]",30
18,laden,"[-0.24504    0.34633    0.32257   -1.1214     1.3366    -0.70414
  0.20896   -1.0389     0.55679    0.51874    0.95088    0.47898
  0.30902    0.30957    0.36672    0.37865    0.26826   -1.3123
 -0.50279    0.04931    0.064928  -0.29089    0.13068   -0.81801
 -0.52655    0.4008    -0.50406    0.28698    0.0071428  0.17143
  0.80296   -0.41694   -0.37249    0.12367   -0.010822   1.0684
  0.15579    0.62201    0.4063     0.3954    -0.54703   -0.15012
  1.5387     0.21279    0.54934   -0.31164    0.26828    0.45239
  0.084574  -1.2498    -0.76961    0.77574    0.98498    1.6316
 -0.19629   -0.81386   -0.15612    0.019987   1.5922     0.23859
  0.074515   0.76323    0.58901   -1.2707     0.38938    0.11253
  0.34053    0.33944   -0.26092    0.39474   -0.079408  -1.0874
  0.0087452 -0.54033   -0.5373     0.36784    0.92373   -0.64256
 -0.24755    0.31821    0.93854   -0.25866   -0.78034   -0.4622
 -0.49758   -0.32799    0.055917  -0.014773  -0.60566    0.61881
 -0.27346    0.27093    0.55039   -0.11066    0.079723  -0.63924
 -0.39017   -0.37743    0.36022   -0.16023  ]",7
19,bruch,"[-8.9248e-02 -3.0852e-01 -3.6193e-01  2.9244e-01 -2.5083e-01 -2.0085e-01
 -4.3725e-02 -2.4123e-02 -1.9652e-01 -6.2931e-02  2.5526e-01  1.1581e-03
 -5.1894e-01  5.1917e-01 -4.1736e-01 -7.3523e-02  1.9801e-01  1.7686e-02
  3.9505e-01 -2.7281e-01  2.1761e-01 -2.2941e-01  1.4995e-01  8.9124e-02
  3.4443e-01 -9.7061e-02 -1.7172e-01  1.6912e-01  3.5265e-02  7.6543e-01
 -3.3893e-01  1.1270e-01  1.6320e-01 -3.4468e-02 -8.7054e-01  9.1779e-01
  5.2552e-01 -1.1463e-01  1.0884e-01  4.9038e-01  3.2497e-02  1.3030e-01
 -2.2159e-01  6.5656e-01 -4.8192e-01 -2.1313e-01  6.0248e-01  3.3460e-01
  1.8738e-01  3.8357e-01 -4.5229e-02  5.4972e-01 -4.5807e-01 -6.1281e-01
 -7.0030e-01  3.8265e-01  3.7811e-01 -5.2992e-02 -8.4896e-01  4.3562e-01
  5.8172e-01 -4.0522e-01  1.3977e-01 -2.3838e-05  3.3837e-01  7.9845e-02
  4.4392e-01  3.9874e-01  2.2309e-01  2.1021e-01  4.9961e-01 -6.3522e-01
  4.1624e-01  6.3101e-01  3.9050e-01  6.1889e-01 -1.6028e-01 -5.2871e-01
  1.0632e+00  1.9966e-01 -8.4398e-02  2.2477e-03 -2.4076e-01 -3.1874e-01
 -2.4741e-01  3.4345e-01  8.5608e-03 -3.8857e-01 -9.5998e-02  4.3313e-01
 -3.3294e-01 -1.5017e-01  6.9605e-01  3.6328e-01  3.0476e-01  1.6023e-01
 -1.3390e-01 -2.7914e-01 -2.2674e-02 -6.0098e-01]",25
